titre,numéro,mots_clefs,catégorie
PAXSAT,15/03/1988,"Désarmement
Satellites en télédétection
PAXSAT (Satellites)",
L'entomologie amateur [au Québec],15/03/1988,"Lambert, Henri
Jeux scientifiques -- Québec (Province)
Entomologie -- Québec (Province)",
50 ans,15/02/1988,"Université Laval (Québec, Québec). Faculté des sciences et de génie -- Histoire
Sciences -- Etude et enseignement (Supérieur) -- Québec (Province) -- Histoire
Ingénierie -- Etude et enseignement (Supérieur) -- Québec (Province) -- Histoire",
Rosemonde Mandeville,15/02/1988,"Mandeville, Rosemonde
Scientifiques -- Québec (Province)
Sein -- Cancer -- Recherche -- Québec (Province)",
Scanner et compagnie,15/02/1988,"Imagerie par résonance magnétique
Tomodensitométrie",
Minitel au Québec,15/02/1988,"Centre d'excellence en télécommunications intégrées (Firme)
Minitel (Service télématique)
Alex (Service télématique)",
Les radioamateurs,15/02/1988,Radioamateurs,
Les amoureux du scalpel,15/02/1988,"Pathomimies
Münchhausen, Syndrome de",
Biotechnologies [au Canada],15/02/1988,Biotechnologie -- Canada,
La condition [physique et mentale] des jeunes Québécois,15/02/1988,"Jeunesse -- Québec (Province) -- Santé
Jeunesse -- Québec (Province) -- Maladies
Jeunesse -- Québec (Province) -- Attitudes",
Les périls de l'interprétation [des données en recherche biomédicale],15/02/1988,"Analyse multivariée
Biostatistique
Statistique médicale",
L'aquariophilie [au Québec],15/02/1988,"Bonenfant, Jean
Poissons d'aquarium -- Élevage -- Québec (Province)",
De Tchernobyl à Québec,15/02/1988,"Accidents nucléaires
Gestion des situations d'urgence -- Québec (Province)",
Les jeunes [Québécois] ne sont pas tous en train de mourir,15/02/1988,Jeunesse -- Québec (Province) -- Attitudes,
Nous sommes seuls dans la galaxie,15/01/1988,Vie extraterrestre,
Le PAF [Facteur d'activation plaquettaire],15/01/1988,"Facteur d'activation plaquettaire
Sang -- Coagulation -- Facteurs",
La vie intelligente extraterrestre,15/01/1988,Vie extraterrestre,
"Gymnases scientifiques"" à l'école""",15/01/1988,"Nonnon, Pierre
Sciences -- Étude et enseignement -- Québec (Province)
Matériel didactique
Technologie éducative -- Québec (Province)
Appariteurs-robots",
La culture au ras du sol,15/01/1988,"Culture scientifique et technique
Culture",
A la rescousse de l'ozone [atmosphérique],15/01/1988,"CFC -- Réduction
Ozone atmosphérique -- Réduction
Halons",
RNIS [Réseau numérique à intégration de services],15/01/1988,Réseaux numériques à intégration de services,
Pierre Deslongchamps,15/01/1988,"Deslongchamps, Pierre
Chimistes -- Québec (Province)
Réactions chimiques",
L'énigme du mal de tête,15/01/1988,"Mal de tête
Migraine",
Patiner sur l'eau,15/01/1988,"Patinage
Frottement",
Les petits débrouillards,15/01/1988,"Club des Débrouillards (Québec)
Jeux scientifiques -- Québec (Province)",
Les extraits végétaux,15/01/1988,Plantes -- Extraits -- Recherche -- Québec (Province),
David Suzuki,15/12/1987,"Suzuki, David
Scientifiques -- Canada
Sciences -- Vulgarisation -- Canada
Vulgarisateurs scientifiques -- Canada",
Les fausses sciences,15/12/1987,Parasciences,
La technologie du ski de fond,15/12/1987,Ski de fond -- Matériel -- Conception et construction,
SIDA,15/12/1987,Sida,
"Un \pneu\"" dangereux pour la santé""",15/12/1987,Obésité abdominale -- Complications et séquelles,
Newton,15/12/1987,"Newton, Isaac. Philosophiae naturalis principia mathematica
Physiciens -- Grande-Bretagne -- Biographies
Gravitation
Mécanique -- Histoire",
Les chutes à neige sale,15/12/1987,"Neiges usées -- Elimination -- Québec (Province) -- Montréal, Région de",
L'informatique amateur,15/12/1987,"Dagenais, Marcelle
Informatique -- Québec (Province)
Jeux scientifiques -- Québec (Province)",
Le Grand Nord canadien,15/12/1987,"Ressources naturelles -- Canada (Nord)
Pétrole -- Canada (Nord)
Faune -- Canada (Nord)
Ecosystèmes -- Canada (Nord)
Inuit -- Canada
Canada (Nord) -- Découverte et exploration",
Une main artificielle pleine de promesses [conçue par l'Institut de réadaptation de Montréal],15/12/1987,Main artificielle,
La généalogie [amateur,15/11/1987,"Fréchet, Guy
Généalogie -- Québec (Province)",
La lutte contre le cancer,15/11/1987,"Cancer -- Dépistage
Cancer -- Recherche
Cancer -- Traitement",
Le bol coréen et le piquet québécois,15/11/1987,Production en série,
Le marché des technologies,15/11/1987,"Recherche -- Québec (Province)
Transfert de technologie
Entreprises -- Québec (Province)
Technologie -- Québec (Province)",
L'aventure du Spoutnik,15/11/1987,Astronautique -- URSS,
Comment choisir le meilleur?,15/11/1987,Hockeyeurs -- Sélection,
"Les 25 ans de \Québec science\""""",15/11/1987,"Québec science (Périodique)
Sciences -- Périodiques -- Québec (Province) -- Histoire",
Changer la loi sur les brevets,15/11/1987,"Canada. Loi sur les brevets
Médicaments -- Brevets -- Canada
Industrie pharmaceutique -- Canada",
"Des saumons cultivés [en Colombie-Britannique, grâce aux biotechnologies]",15/11/1987,"Pisciculture -- Colombie-Britannique
Biotechnologie -- Colombie-Britannique
Saumons -- Elevage -- Colombie-Britannique",
Des mammouths à Ottawa,15/11/1987,"Musée national des sciences naturelles (Ottawa, Ontario)
Mammouth laineux
Sciences naturelles -- Musées -- Canada",
1987,15/11/1987,"Année internationale du logement des sans-abri, 1987
Sans-abri -- Canada",
Serge Fournier,15/11/1987,"Fournier, Serge
Recherches Bell-Northern (Firme)
Traitement du signal",
L'astronomie amateur,15/10/1987,"Tardif, Alphonse
Astronomes amateurs -- Québec (Province)",
Relancer plutôt que critiquer l'enseignement des sciences,15/10/1987,"Sciences -- Étude et enseignement
Sciences -- Étude et enseignement -- Québec (Province)",
Le sommet des jeunes scientifiques,15/10/1987,"Expo-sciences internationale (1987 : Québec, Québec)
Jeunes scientifiques",
Barrage Daniel-Johnson,15/10/1987,Barrage Daniel-Johnson (Québec),
"Le \fast food\"" gastronomique\""""",15/10/1987,Cuisine sous vide,
Animer la révolution technologique,15/10/1987,"Landry, Fernand
Technologie de pointe -- Québec (Province)",
Le purgatoire de la vulgarisation [scientifique audio-visuelle au Québec,15/10/1987,Sciences -- Vulgarisation -- Québec (Province),
Cette fragile couche d'ozone,15/10/1987,"Ozone atmosphérique -- Réduction
CFC -- Réduction -- Accords internationaux",
Une profession encore jeune,15/10/1987,Agronomie -- Québec (Province) -- Histoire,
Du lait s'il vous plaît,15/10/1987,"Lait
Industrie laitière -- Québec (Province)",
Il y a 25 ans,15/10/1987,"Alouette (Satellite artificiel)
Satellites artificiels -- Canada -- Histoire",
L'ère des matériaux composites,15/10/1987,Composites,
Lunettes de soleil,15/07/1988,Lunettes de soleil,
Wilder Penfield,15/07/1988,"Penfield, Wilder
Institut neurologique de Montréal (Québec)
Médecins -- Québec (Province) -- Biographies
Cerveau",
La mycologie amateur [au Québec],15/07/1988,"Cauchon, René
Mycologie -- Québec (Province)
Champignons -- Québec (Province)
Mycologues amateurs -- Québec (Province)",
IMAX et OMNIMAX,15/07/1988,"Imax (Procédé cinématographique)
Projection cinématographique
Omnimax (Procédé cinématographique)",
Le développement des PME technologiques en région [au Québec,15/07/1988,"PME -- Québec (Province)
Technologie -- Québec (Province)",
Environnement,15/07/1988,"Pétro-Lysis (Firme)
Ultramar Canada (Firme)
Bionov (Firme)
INRS (Québec)
Tourbières Premier (Firme)
Environnement -- Recherche -- Québec (Province)",
Le bronzage,15/07/1988,"Peau -- Cancer -- Prévention
Rayonnement ultraviolet -- Effets physiologiques
Protection solaire
Rayonnement solaire -- Effets physiologiques",
Le comportement alimentaire du Petit rorqual [dans l'estuaire du Saint-Laurent],15/07/1988,"Petit rorqual -- Moeurs et comportement
Petit rorqual -- Alimentation",
Le zoo,15/07/1988,"Jardins zoologiques
Espèces en danger",
Le phytotron de [l'Université] McGill,15/07/1988,"Université McGill (Montréal, Québec)
Phytotron
Croissance (Plantes) -- Recherche -- Québec (Province)",
La floriculture amateur [au Québec,15/06/1988,"Laramée, Gisèle
Floriculture -- Québec (Province)",
Ouvrez le feu ... d'artifice,15/06/1988,"Cardinal, Maurice
Concours international d'art pyrotechnique (1988 : Montréal, Québec)
Feux d'artifice -- Québec (Province) -- Montréal",
"De la \folie\"" à la santé mentale""",15/06/1988,"Lamontagne, Yves
Santé mentale -- Québec (Province)
Promotion de la santé mentale -- Québec (Province)
Maladies mentales -- Québec (Province)
Psychothérapie",
Les pesticides en milieu urbain,15/06/1988,"Pesticides -- Québec (Province) -- Aspect de l'environnement
Villes -- Québec (Province)",
Le frère Marie-Victorin,15/06/1988,"Marie-Victorin, frère. Flore laurentienne
Jardin botanique de Montréal
Botanistes -- Québec (Province) -- Biographies",
Les ponts du Québec,15/06/1988,Ponts -- Entretien et réparations -- Québec (Province),
Les enfants sidatiques,15/06/1988,Sida chez l'enfant,
CL-215T,15/06/1988,"Canadair CL-215T (Bombardier d'eau)
Bombardiers d'eau",
Les lecteurs optiques [ou numériseurs offrent des possibilités fantastiques en édition assistée par ordinateur],15/06/1988,"Lecteurs optiques
Editique -- Appareils et matériel",
Le flottage du bois,15/06/1988,"Flottage du bois -- Québec (Province)
Pollution de l'eau -- Québec (Province)
Environnement -- Québec (Province)",
L'automatisation des PME [québécoises],15/06/1988,"PME -- Québec (Province)
Productique -- Québec (Province)
Automatisation -- Québec (Province)",
Les énergies douces ont-elles rempli leurs promesses?,15/09/1987,Énergies renouvelables -- Québec (Province),
L'Afrique face au SIDA,15/09/1987,Sida -- Afrique,
Communiquer sa passion des plantes,15/09/1987,"Lacoursière, Estelle
Femmes botanistes -- Québec (Province)
Plantes",
Le retour du pétoncle géant [grâce à son élevage dans les Iles-de-la-Madeleine],15/09/1987,Pétoncles -- Elevage -- Québec (Province),
Les 5 000 000 000 d'habitants de la planète,15/09/1987,"Tabah, Léon
Démographie
Population
Appétit
Malnutrition",
Les anomalies de l'esprit critique,15/09/1987,"Pensée critique
Sens commun",
Vous n'avez pas le SIDA? Prouvez-le,15/09/1987,Sida -- Dépistage,
"Oui, il y a des requins au Québec [et leurs moeurs étonnent]",15/09/1987,"Requins -- Moeurs et comportement
Requins -- Québec (Province)",
L'utilisation des animaux en recherche,15/09/1987,"Recherche
Animaux de laboratoire
Vivisection
Expérimentation animale",
Foetus sous surveillance,15/09/1987,"Echographie obstétricale
Tococinon (Appareil)",
Un souffleur de verre au service de la science,15/09/1987,"Vandenhoff, Jack
Verre, Travail du
Laboratoires -- Appareils et matériel
Souffleurs de verre -- Canada",
Un biscuit bidon,15/04/1987,"Institut national de l'obésité du Canada
Perte de poids",
L'horticulture de verre,15/04/1987,Plantes -- Cellules et tissus -- Culture,
Nos ingénieurs hors frontières,15/04/1987,"Ingénieurs -- Canada
Transfert de technologie
Ingénieurs-conseils -- Canada",
Navette,15/04/1987,"Young, John
Challenger (Navette spatiale)
Navettes spatiales -- Accidents",
Pesticides [sur les pelouses],15/04/1987,"Pesticides -- Toxicologie -- Québec (Province)
Pelouses -- Entretien -- Québec (Province)",
Dystrophie musculaire,15/04/1987,Dystrophie musculaire chez l'enfant -- Aspect génétique,
Un Nord [québécois] à connaître,15/04/1987,"Université Laval (Québec, Québec). Centre d'études nordiques
Recherche -- Québec (Province) -- Nord-du-Québec
Nord-du-Québec (Québec) -- Etude et enseignement",
Des lubies d'enfantement,15/04/1987,"Procréation médicalement assistée
Grossesse chez l'homme",
"L'Univers, une éponge?",15/04/1987,Univers,
Inondations [des terres riveraines du Québec],15/04/1987,"Inondations -- Québec (Province)
Grands Lacs (Amérique du Nord) -- Niveau des eaux",
Ostéoporose,15/04/1987,"Ostéoporose
Calcium dans l'organisme
Femmes -- Maladies",
Ces immeubles [à bureaux] qui nous étouffent,15/04/1987,"Immeubles de bureaux -- Chauffage et ventilation
Immeubles de bureaux -- Qualité de l'air
Air intérieur -- Qualité -- Aspect de la santé",
L'ordinateur cartographe,15/03/1987,Cartographie -- Informatique -- Québec (Province),
Des yeux pour les robots,15/03/1987,"Vision par ordinateur
Robots industriels",
Les cobayes humains,15/03/1987,"Médicaments -- Essais cliniques
Expérimentation humaine en médecine -- Canada",
Le casse-tête de l'autisme,15/03/1987,Autisme,
Des veaux sans père [grâce à la parthénogénèse],15/03/1987,"Parthénogénèse chez les animaux
Bovins -- Reproduction",
Quand les mini se font micro [grâce aux microprocesseurs 32 bits],15/03/1987,"Microprocesseurs
Micro-ordinateurs",
"Les cheveux repoussent [grâce à Rogaine, une lotion à base de minoxidil], mais...",15/03/1987,"Cheveux -- Soins et hygiène
Produits capillaires
Minoxidil (Médicament)
Calvitie -- Traitement",
Drogue,15/03/1987,"Drogues -- Trafic -- Canada
Drogues de confection",
Une station spatiale internationale... ou militaire?,15/03/1987,Stations spatiales,
Médicaments,15/03/1987,"Médicaments -- Efficacité
Chronopharmacologie
Chronothérapie",
La renaissance du mont Saint Helens,15/03/1987,"Volcans -- États-Unis -- Washington (État)
Saint Helens, Mont (Etats-Unis)",
L'imagerie spatiale,15/03/1987,"Télédétection -- Canada
Images-satellite -- Canada",
Les jeunes pris au jeu,15/03/1987,"Jeux de hasard -- Québec (Province) -- Enquêtes
Jeunesse -- Québec (Province) -- Attitudes -- Enquêtes",
"Des preuves, s.v.p.",15/02/1987,Parapsychologie,
Glaciers d'Alaska,15/02/1987,Glaciers -- Etats-Unis -- Alaska,
L'économie à l'ordre du jour,15/02/1987,"Association québécoise pour la maîtrise de l'énergie
Economies d'énergie -- Québec (Province) -- Congrès, colloques, etc",
Des jets dans le ciel amérindien,15/02/1987,"OTAN
Premières nations -- Québec (Province)
Vols à basse altitude -- Québec (Province)
Avions de chasse",
Haroun Tazieff,15/02/1987,"Tazieff, Haroun
Volcanologues -- France -- Biographies
Volcans -- Éruptions",
Des ingénieurs ingénieux,15/02/1987,"Therméca (Firme)
Économies d'énergie -- Québec (Province)",
Les dessous de l'Espagne,15/02/1987,"Spéléologie d'amateurs -- Québec (Province)
Torca Uriello (Gouffre : Espagne)",
L'habit fait le poisson,15/02/1987,"Poissons -- Morphologie
Adaptation (Biologie)
Poissons -- Alimentation",
Le coeur de la dernière chance,15/02/1987,Coeur artificiel,
Les messagers du cerveau,15/02/1987,Neurotransmetteurs -- Recherche,
Pakistan,15/02/1987,"Armes nucléaires -- Pakistan
Armes nucléaires -- Contrôle
Energie nucléaire -- Pakistan
Pakistan -- Politique de la défense",
Amiante,15/02/1987,Amiante -- Industrie -- Recherche -- Québec (Province),
Un hydromel québécois,15/01/1987,"Hydromel
Distillerie -- Québec (Province)",
Des vélos fous fous fous,15/01/1987,"Bicyclettes
Véhicules à propulsion humaine
Avions à propulsion humaine",
La fin de l'isolement,15/01/1987,"Désinstitutionnalisation
Hôpitaux psychiatriques -- Québec (Province)
Intégration sociale
Personnes vivant avec un trouble de santé mentale -- Québec (Province)",
La machine anti-rhume,15/01/1987,"Rhume -- Traitement par inhalothérapie
Inhalateurs",
De la mémoire en masse,15/01/1987,Disques durs,
Un Nobel canadien désarmant,15/01/1987,"Polanyi, John C
Prix Nobel de chimie (1986)
Chimistes -- Canada -- Biographies",
Des suppléments superflus,15/01/1987,Vitamines,
La fin des BPC?,15/01/1987,"Lalancette, Jean-Marc",
NASA,15/01/1987,"NASA (États-Unis)
Challenger (Navette spatiale)
Programme spatial -- États-Unis
Navettes spatiales -- Accidents",
Des yeux tout neufs,15/01/1987,"Cornée -- Greffe
Histocompatibilité",
L'INRS-Géoressources et le sous-sol québécois,15/12/1986,"INRS (Québec)
Ressources minérales -- Québec (Province)",
L'expérience bleue,15/12/1986,"Génie génétique humain -- Argentine
Expérimentation humaine en médecine
ADN recombinant",
Les secrets du Saint-Laurent,15/12/1986,"Océanographie -- Recherche -- Québec (Province)
Fleuves
Saint-Laurent (Fleuve)
Saint-Laurent, Golfe du
Saint-Laurent, Estuaire du (Québec)",
Femmes recherchées,15/12/1986,"Conseil de la science et de la technologie (Québec)
Sciences -- Québec (Province)
Technologie -- Québec (Province)
Femmes scientifiques -- Québec (Province)
Femmes -- Québec (Province)",
Les exportations d'électricité,15/12/1986,Electricité -- Vente -- Québec (Province),
Le B(a)P en flagrant délit,15/12/1986,"Béluga
Benzo(a)pyrène
Pollution de l'eau
Mammifères
Mammifères marins -- Effets de la pollution de l'eau sur
Saint-Laurent, Estuaire du (Québec)",
Les sols prennent le large,15/12/1986,"Erosion
Agriculture -- Québec (Province)
Eau
Vents
Sols agricoles",
La défense à la mode Reagan,15/12/1986,"Armes nucléaires
Paix
Satellites artificiels
Essais nucléaires
Sismologie
Désarmement",
Une pilule anti-herpès,15/12/1986,"Médicaments
Pharmacologie
Herpès
Acyclovir",
Un dépistage incertain,15/12/1986,"Drogues
Diagnostics biologiques
Toxicomanie
Drogues et travail
Toxicomanie -- Dépistage",
Le zèle des leucotriènes,15/12/1986,"Rola-Pleszczinsky, Marek
Leucotriènes
Défense immunitaire
Inflammation (Pathologie)
Immunologie -- Recherche -- Québec (Province)",
Les supercordes de l'univers,15/12/1986,"Modèles des cordes vibrantes (Physique nucléaire)
Particules (Physique nucléaire)
Physique
Hypercharge
Univers",
Destination Mars,15/12/1986,"Planètes
Vol vers Mars
Astronautique -- URSS
Sondes spatiales
Mars (Planète)
Espace extra-atmosphérique -- Exploration",
Les yeux de l'espace,15/12/1986,"SPOT (Satellite de télédétection)
Satellites de télédétection
Cartographie -- Canada",
Gènes pris en filature,15/12/1986,"Gènes
Maladies génétiques
Dépistage (Médecine)
Diagnostics prénatals
Génétique médicale",
Pamir,15/11/1986,"Communisme, Pic
Alpinisme",
Des carottes dans l'océan,15/11/1986,"Joides resolution (Navire)
Exploration sous-marine
Fonds marins
Géologie sous-marine -- Recherche
Océanographie -- Recherche
Carottage
Navires de recherche",
Une seule piqûre par année,15/11/1986,"Sefton, Michael
Diabète -- Traitement par greffe",
Les Basques à Mingan,15/11/1986,"Basques -- Canada -- Histoire
Fouilles (Archéologie) -- Québec (Province) -- Mingan, Archipel de
Fouilles (Archéologie) -- Québec (Province) -- Saint-Laurent, Région de l'estuaire du",
La défense à la mode Reagan,15/11/1986,"Reagan, Ronald
Initiative de défense stratégique
Armes nucléaires
Stratégie militaire -- Etats-Unis
Défense antimissile -- Etats-Unis
États-Unis -- Défense nationale",
Les 10 soleils de Princeton,15/11/1986,"Fusion nucléaire contrôlée
Tokamaks
Energie thermonucléaire -- Recherche
Réacteurs de fusion
Génie nucléaire -- Recherche",
Les nouvelles en soucoupe,15/11/1986,"Télévision par satellite
Télévision américaine",
Une décennie de catastrophes,15/11/1986,"Périls et catastrophes (Symposium : 1986 : Rimouski, Québec)
Catastrophes naturelles",
"Le graphisme par ordinateur, un leurre",15/11/1986,"Infographie
Micro-ordinateurs",
Une première québécoise,15/11/1986,"Peau -- Greffe
Chirurgie -- Québec (Province)
Peau -- Cultures et milieux de culture",
Une clé génétique pour le vieillissement?,15/11/1986,"Vieillissement
Génétique
Down, Syndrome de
Alzheimer, Maladie d'
Chromosomes",
Biotechnologie,15/11/1986,"Biotechnologie
Alimentation
Industrie agro-alimentaire
Mycoprotéines",
Le retour des brasseurs artisans,15/11/1986,Bière,
Le prochain tremblement de terre,15/11/1986,"Tremblements de terre
Sismologie
Tremblements de terre -- Prévision",
Des singes en blanc,15/10/1986,"Handicapés physiques et animaux
Capucins (Singes) -- Dressage
Singes (Aides pour handicapés) -- Québec (Province)",
Si La Ferme avait su,15/10/1986,"Biocapteurs
Biotechnologie
Industrie agro-alimentaire",
Et les dents lâchent prise,15/10/1986,"Périodontites
Dents
Dentisterie",
70 ans dans les limbes,15/10/1986,"Sciences -- Canada
Technologie -- Canada
Canada -- Politique scientifique et technique",
"Les \bleus\"" de l'automne""",15/10/1986,"Climat
Rythmes biologiques
Dépression
Psychiatrie",
La fuite dans les rivières,15/10/1986,"Cours d'eau
Pollution de l'eau
Agriculture -- Québec (Province)
Environnement -- Québec (Province)
Engrais et amendements
Pesticides",
Un ordinateur dans une soupe d'hormones,15/10/1986,"Vincent, Jean-Didier
Cerveau
Hormones
Neuroendocrinologie
Biochimie
Émotions",
SIDA,15/10/1986,"Sida -- Traitement
Vaccins contre le sida
Médicaments contre le sida
Sida -- Recherche",
"Beau, bon, pas cher",15/10/1986,"Transports urbains -- Colombie-Britannique
Technologie de pointe -- Colombie-Britannique
Métros -- Colombie-Britannique -- Vancouver",
Des îles à pétrole,15/10/1986,"Pétrole -- Canada
Pétrole -- Exploitation
Structures offshore
Plateformes de forage
Beaufort, Mer de",
Spécial musique,15/10/1986,"Spectacles multimédias
Son -- Enregistrement et reproduction
Psycho-acoustique
Salles de spectacle
Acoustique architecturale
Réverbération (Acoustique)
Musique -- Informatique",
Moffat ou Einstein? Tout est relatif,15/07/1987,"Moffat, John
Einstein, Albert
Relativité (Physique)",
Cancer,15/07/1987,"Smith, Ian
Cancer -- Dépistage
Sang -- Analyse",
Tension sous les lignes,15/07/1987,"Lignes électriques -- Aspect de la santé
Champs magnétiques -- Effets physiologiques
Champs électriques -- Effets physiologiques",
"Sur la route des volcans [d'Hawaï, qu'il faut surveiller de près]",15/07/1987,"Volcans -- États-Unis -- Hawaii
Volcanisme -- Prévision",
Physique,15/07/1987,"Guth, Alan H
Univers inflatoire
Univers -- Origines",
Au pays des sphaignes,15/07/1987,"Sphaignes
Tourbières",
Les bricoleurs de l'air,15/07/1987,"Véhicules télécommandés (Jouets)
Avions -- Modèles réduits",
Aérodynamisme,15/07/1987,"Avions -- Economies d'énergie
Aérodynamique",
IMAGE,15/07/1987,"IMAGE (Projet de recherche : Québec)
Alzheimer, Maladie d' -- Recherche -- Québec (Province) -- Saguenay-Lac-Saint-Jean",
Santé mentale [au Québec],15/07/1987,"Stérilisation eugénique -- Québec (Province)
Stérilisation des handicapés mentaux -- Québec (Province)",
Les remous du fluorure,15/07/1987,"Fluorures
Eau -- Fluoration -- Québec (Province)
Dents -- Carie -- Québec (Province) -- Prévention
Fluor et santé dentaire -- Québec (Province)",
Pluies acides [au Canada],15/06/1987,"Précipitations acides (Météorologie) -- Canada
Saumon atlantique -- Canada",
Des sources marines [à forte teneur en métaux,15/06/1987,Bouches hydrothermales -- Recherche,
Des légumes aériens [cultivés avec une miniserre aéroponique],15/06/1987,"Horticulture potagère -- Appareils et matériel
Aéroponique -- Appareils et matériel",
Nucléaire,15/06/1987,Centrale nucléaire de Darlington (Ontario),
Hypertension,15/06/1987,"Hypertension artérielle -- Traitement
Indapamine
Hypotenseurs",
"Subliminal, mythe et réalité",15/06/1987,"Détente subliminale
Psychothérapie",
"Hawaï, l'île aux étoiles",15/06/1987,"Télescopes -- Etats-Unis -- Hawaii
Observatoires astronomiques -- Etats-Unis -- Hawaii
CFHT (Télescope)",
"Demain, l'ordinateur polyglotte?",15/06/1987,"Traduction automatique
Analyse grammaticale",
Le boom des supraconducteurs [fonctionnant aux températures ordinaires],15/06/1987,Supraconducteurs à hautes températures,
Eau potable,15/06/1987,"Fano, Enzo
Eau -- Approvisionnement
Ressources en eau",
Nucléaire,15/06/1987,Déchets radioactifs -- Gestion -- Canada,
De l'obéissance à la torture,15/06/1987,"Obéissance -- Aspect moral
Tortionnaires -- Psychologie",
S'intoxiquer au Niagara,15/06/1987,"Niagara, Rivière (Etats-Unis et Ontario) -- Pollution",
Un jeune homme-orchestre,15/06/1987,"Malka, Francis
Programmeurs -- Québec (Province)
Musiciens -- Québec (Province)",
Le littoral recule,15/09/1986,"Littoral
Erosion
Mer
Niveau des eaux",
Les nouveaux entraîneurs,15/09/1986,"Entraîneurs (Sports)
Sports
Performance sportive",
De l'aluminium dans la tête,15/09/1986,"Aluminium
Alzheimer, Maladie d'
Cerveau
Neurologie -- Recherche",
Le laser se fait chimiste,15/09/1986,"Lasers
Chimie",
Un truc pour le trac,15/09/1986,"Trac
Médicaments
Bêtabloquants
Pharmacologie",
Les chasseurs d'odeurs,15/09/1986,Chiens policiers -- Dressage,
La méthode Lieberman,15/09/1986,"Lieberman, Robert
Psychiatrie
Schizophrénie -- Traitement",
Logiciels à protection limitée garantie,15/09/1986,"Droit d'auteur -- Logiciels
Logiciels -- Piratage",
L'ère des hypersoniques,15/09/1986,"Avions hypersoniques
Avions -- Moteurs",
Les divas du muscle,15/09/1986,"Muscles
Culturisme féminin
Hormones
Sports féminins
Femmes culturistes",
Un trésor qui s'appelle Amazonie,15/09/1986,"Forêts amazoniennes
Écosystèmes
Ecologie -- Brésil
Erosion
Déboisement
Amazonie",
Animaux sans passeport,15/05/1987,"Espèces en danger
Animaux sauvages -- Commerce
Animaux exotiques -- Commerce",
La face cachée des feuilles [dévoilée grâce à la microscopie optique],15/05/1987,Feuilles -- Anatomie,
Thrombopénie,15/05/1987,"Sang -- Plaquettes -- Transfusion
Thrombocytopénie chez l'enfant -- Prévention",
Les gros et les petits,15/05/1987,Biotechnologie -- Recherche -- Canada,
Les bijoux de la prison,15/05/1987,"Surveillance électronique
Détenus",
Les trois rameaux du succès [de l'industrie canadienne des pâtes et papiers],15/05/1987,Pâtes et papiers -- Industrie -- Canada,
Physique,15/05/1987,"Supercollisionneurs supraconducteurs
Accélérateurs à protons",
Archéologie,15/05/1987,"Archéologie -- Québec (Province)
Hiver
Voiliers",
Migraines,15/05/1987,"Migraine -- Traitement
Rétroaction biologique (Thérapie)",
Du pain sur la planche,15/05/1987,"Reboisement -- Québec (Province)
Forêts et sylviculture -- Québec (Province)",
La leçon de Tchernobyl,15/05/1987,"Accident nucléaire de Tchernobyl, Ukraine, 1986
Accidents nucléaires -- Ukraine",
Thérapies génétiques,15/05/1987,Génétique médicale,
Les racines du mal,15/05/1987,"Air -- Pollution -- Québec (Province)
Forêts -- Dépérissement -- Québec (Province)",
Où se cache le loisir informatique?,15/05/1986,"Loisirs scientifiques
Informatique -- Québec (Province)",
Des animaux en bleu et vert,15/05/1986,"Oiseaux
Papillons
Couleur
Ecailles
Plumes
Irisation",
"Les électrotechnologies, la voie de l'avenir",15/05/1986,"Electrotechnologies
Industrie -- Québec (Province)
Électricité",
"Raquettes \high tech\""""",15/05/1986,"Tennis
Raquettes (Articles de sport)
Articles de sport",
L'ordinateur se fait musicien,15/05/1986,"Semaine internationale de musique par ordinateur -- Lévis -- 1986
Musique -- Informatique
Ordinateurs
Synthétiseurs
Instruments de musique",
Le couperet fédéral épargne la science,15/05/1986,"Budget -- Canada
Recherche -- Canada
Canada -- Crédits budgétaires et dépenses, 1986",
Que mangerez-vous en l'an 2000?,15/05/1986,"Alimentation
Industrie agro-alimentaire
Biotechnologie
Protéines
Génie génétique",
Un pas vers l'usine automatisée,15/05/1986,"Production automatisée
Automatisation
CFAO, Systèmes de
Robots industriels",
Au menu,15/05/1986,"Kok, Robert
Insectes
Alimentation
Protéines animales
Appétit",
L'hormone du coeur va de l'avant,15/05/1986,"Cantin, Marc
Hormones
ANF (Hormone)
Coeur
Hypertension artérielle
Endocrinologie -- Recherche
Oreillettes",
Vaches en série,15/05/1986,"Vaches laitières
Fécondation in vitro (Médecine vétérinaire)
Embryons -- Transplantation
Bovins -- Reproduction
Reproduction animale assistée, Techniques de",
Origine de l'homme,15/05/1986,"Coppens, Yves
Êtres humains -- Origines
Paléoanthropologie
Évolution (Biologie)
Êtres humains",
"L'astrologie, le vent dans les voiles",15/04/1986,"Astrologie
Affaires
Gestion -- Prise de décision",
"Un tunnel sous la Manche, enfin",15/04/1986,"Transport -- Europe
Ingénierie
Tunnel sous la Manche (Grande-Bretagne et France)",
Les grands brûlés,15/04/1986,"Brûlures -- Traitement
Peau -- Greffe
Peau -- Cultures et milieux de culture",
Apprendre à parler,15/04/1986,"Enfants -- Psychologie
Apprentissage de la parole
Langage -- Acquisition
Parole
Communication
Bébés -- Langage",
Le nouveau visage d'Uranus,15/04/1986,"Planètes
Voyager (Sondes spatiales)
Sondes spatiales
Uranus (Planète)",
